Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,79,3M PTT Adapter
4,183,5.56mm Indiv Cleaning Kit + Gerber Tool
5,257,9mm OTIS Cleaning Kit PK-L-18FI
6,127,9mm Pouch Black (2)
7,22,Baton (ASP) + Holder
8,31,Black Mustang PFD
9,26,Blackhawk Hawkhook Knife
10,25,Cruiser Mate II Doc Holder
11,12,Double Magazine Pouch
12,33,Duty Belt incl Kprs + Liner
13,93,ESS Eye Pro
14,78,Ear Piece
15,185,Face Shield DeLuxe Part # 5145
16,186,GH Body Armor Ext M 2013/2015 No Panels
17,74,GH Body Armor Int M 2013/2015 + Panels
18,55,HT Trauma Plate
19,77,HiVis Jacket
20,36,IEC Type A AC Charger Cord
21,196,Key Holder
22,16,Leland Strobe Light
23,32,Life CPR Mask
24,6,M16 Magazine Holder
25,48,Patrol Bag
26,83,Patrol Gloves M
27,49,Pepper Spray + OC Pouch
28,18,Prlss H-cuffs  w/Key + Pouch
29,34,Protector P16 Baton
30,2,Radio Pouch
31,29,Red-Tip Tech CAT Tourniquet + Holder
32,9,Safariland M9 Holster R
33,38,Spec-OPS Helmet M
34,35,Strion Charger AC/DC USB
35,23,Strion LED Flshl
36,68,APR/CBRN Respirator M
37,70,CBRN Canister PN 10046570
