Seq No,Item No,Description
1,68,APR/CBRN Respirator M
2,70,CBRN Canister PN 10046570
3,51,2016 Em Resp Guide
4,28,3M ACH Headset Single Com
5,22,Baton (ASP) + Holder
6,26,Blackhawk Hawkhook Knife
7,25,Cruiser Mate II Doc Holder
8,47,Duty Belt (Nylon)
9,43,GH Body Armor Ext L 2213/2215 + Panels
10,73,GH Body Armor Int L 2213/2215 No Panels
11,11,Glove Pouch
12,36,IEC Type A AC Charger Cord
13,32,Life CPR Mask
14,27,Listen Only Earpiece
15,6,M16 Magazine Holder
16,48,Patrol Bag
17,84,Patrol Gloves L
18,49,Pepper Spray + OC Pouch
19,129,Prls HCuffs + Pouch
20,2,Radio Pouch
21,9,Safariland M9 Holster R
22,52,Black Sounders Citation Holder II
23,40,Spec-OPS Helmet XL
24,35,Strion Charger AC/DC USB
25,23,Strion LED Flshl
26,16,Leland Strobe Light
27,29,Red-Tip Tech CAT Tourniquet + Holder
28,183,5.56mm Indiv Cleaning Kit + Gerber Tool
29,77,HiVis Jacket
30,283,IWCK (Improved Weapons Cleaning Kit)
31,13,M17 Holster System R
