Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,79,3M PTT Adapter
3,183,5.56mm Indiv Cleaning Kit + Gerber Tool
4,257,9mm OTIS Cleaning Kit PK-L-18FI
5,127,9mm Pouch Black (2)
6,22,Baton (ASP) + Holder
7,31,Black Mustang PFD
8,26,Blackhawk Hawkhook Knife
9,106,Blk Nylon Bpck (Boat Bag)
10,25,Cruiser Mate II Doc Holder
11,12,Double Magazine Pouch
12,33,Duty Belt incl Kprs + Liner
13,78,Ear Piece
14,185,Face Shield DeLuxe Part # 5145
15,36,IEC Type A AC Charger Cord
16,196,Key Holder
17,21,Lanyard (Pistol)
18,16,Leland Strobe Light
19,32,Life CPR Mask
20,6,M16 Magazine Holder
21,48,Patrol Bag
22,83,Patrol Gloves M
23,49,Pepper Spray + OC Pouch
24,18,Prlss H-cuffs  w/Key + Pouch
25,2,Radio Pouch
26,29,Red-Tip Tech CAT Tourniquet + Holder
27,9,Safariland M9 Holster R
28,39,Spec-OPS Helmet L
29,35,Strion Charger AC/DC USB
30,23,Strion LED Flshl
31,128,Tier Stacked Mag Pouch (M4)
