Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,79,3M PTT Adapter
4,183,5.56mm Indiv Cleaning Kit + Gerber Tool
5,257,9mm OTIS Cleaning Kit PK-L-18FI
6,127,9mm Pouch Black (2)
7,181,ACR C-Strobe H20
8,67,APR/CBRN Respirator L
9,286,Balaclava
10,22,Baton (ASP) + Holder
11,3,Baton (Mon) + Holder
12,31,Black Mustang PFD
13,52,Black Sounders Citation Holder II
14,26,Blackhawk Hawkhook Knife
15,106,Blk Nylon Bpck (Boat Bag)
16,70,CBRN Canister PN 10046570
17,53,Crossbow Eye Pro
18,25,Cruiser Mate II Doc Holder
19,12,Double Magazine Pouch
20,78,Ear Piece
21,185,Face Shield DeLuxe Part # 5145
22,91,Flashlight Pouch
23,45,GH Trauma Pad
24,36,IEC Type A AC Charger Cord
25,283,IWCK (Improved Weapons Cleaning Kit)
26,196,Key Holder
27,21,Lanyard (Pistol)
28,16,Leland Strobe Light
29,32,Life CPR Mask
30,6,M16 Magazine Holder
31,14,M17 Holster System L
32,48,Patrol Bag
33,49,Pepper Spray + OC Pouch
34,18,Prlss H-cuffs  w/Key + Pouch
35,34,Protector P16 Baton
36,2,Radio Pouch
37,29,Red-Tip Tech CAT Tourniquet + Holder
38,58,Safety Vest
39,35,Strion Charger AC/DC USB
40,23,Strion LED Flshl
41,128,Tier Stacked Mag Pouch (M4)
