Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,183,5.56mm Indiv Cleaning Kit + Gerber Tool
4,257,9mm OTIS Cleaning Kit PK-L-18FI
5,127,9mm Pouch Black (2)
6,22,Baton (ASP) + Holder
7,26,Blackhawk Hawkhook Knife
8,301,Body Armor Point Blank FoCBA - Type 1 (XL)
9,25,Cruiser Mate II Doc Holder
10,146,Duty Belt incl Kprs + Liner M
11,78,Ear Piece
12,36,IEC Type A AC Charger Cord
13,16,Leland Strobe Light
14,32,Life CPR Mask
15,48,Patrol Bag
16,84,Patrol Gloves L
17,49,Pepper Spray + OC Pouch
18,18,Prlss H-cuffs  w/Key + Pouch
19,2,Radio Pouch
20,29,Red-Tip Tech CAT Tourniquet + Holder
21,9,Safariland M9 Holster R
22,39,Spec-OPS Helmet L
23,35,Strion Charger AC/DC USB
24,23,Strion LED Flshl
25,128,Tier Stacked Mag Pouch (M4)
