Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,79,3M PTT Adapter
4,127,9mm Pouch Black (2)
5,22,Baton (ASP) + Holder
6,31,Black Mustang PFD
7,52,Black Sounders Citation Holder II
8,26,Blackhawk Hawkhook Knife
9,53,Crossbow Eye Pro
10,25,Cruiser Mate II Doc Holder
11,12,Double Magazine Pouch
12,33,Duty Belt incl Kprs + Liner
13,185,Face Shield DeLuxe Part # 5145
14,45,GH Trauma Pad
15,11,Glove Pouch
16,36,IEC Type A AC Charger Cord
17,21,Lanyard (Pistol)
18,16,Leland Strobe Light
19,32,Life CPR Mask
20,27,Listen Only Earpiece
21,6,M16 Magazine Holder
22,13,M17 Holster System R
23,48,Patrol Bag
24,49,Pepper Spray + OC Pouch
25,18,Prlss H-cuffs  w/Key + Pouch
26,34,Protector P16 Baton
27,2,Radio Pouch
28,29,Red-Tip Tech CAT Tourniquet + Holder
29,9,Safariland M9 Holster R
30,80,Silent Key Hld
31,35,Strion Charger AC/DC USB
32,23,Strion LED Flshl
33,128,Tier Stacked Mag Pouch (M4)
34,44,GH Body Armor Ext XL 2413/2415 + Panels
35,183,5.56mm Indiv Cleaning Kit + Gerber Tool
36,38,Spec-OPS Helmet M
37,78,Ear Piece
38,83,Patrol Gloves M
