Seq No,Item No,Description
1,3,Baton (Mon) + Holder
2,50,Belt Keepers (4)
3,26,Blackhawk Hawkhook Knife
4,12,Double Magazine Pouch
5,47,Duty Belt (Nylon)
6,93,ESS Eye Pro
7,89,Flashlight Ring
8,11,Glove Pouch
9,55,HT Trauma Plate
10,24,HiVis Jacket XL
11,32,Life CPR Mask
12,6,M16 Magazine Holder
13,13,M17 Holster System R
14,48,Patrol Bag
15,82,Patrol Gloves S
16,49,Pepper Spray + OC Pouch
17,18,Prlss H-cuffs  w/Key + Pouch
18,2,Radio Pouch
19,9,Safariland M9 Holster R
20,52,Black Sounders Citation Holder II
21,23,Strion LED Flshl
22,29,Red-Tip Tech CAT Tourniquet + Holder
23,28,3M ACH Headset Single Com
24,79,3M PTT Adapter
25,54,Body Armor IIIA Protection (Ext)
26,59,HJC Helmet L
27,77,HiVis Jacket
28,39,Spec-OPS Helmet L
29,16,Leland Strobe Light
30,183,5.56mm Indiv Cleaning Kit + Gerber Tool
31,185,Face Shield DeLuxe Part # 5145
