Seq No,Item No,Description
1,28,3M ACH Headset Single Com
2,22,Baton (ASP) + Holder
3,50,Belt Keepers (4)
4,26,Blackhawk Hawkhook Knife
5,76,Body Armor External IIIA
6,25,Cruiser Mate II Doc Holder
7,12,Double Magazine Pouch
8,47,Duty Belt (Nylon)
9,78,Ear Piece
10,74,GH Body Armor Int M 2013/2015 + Panels
11,11,Glove Pouch
12,77,HiVis Jacket
13,6,M16 Magazine Holder
14,18,Prlss H-cuffs  w/Key + Pouch
15,2,Radio Pouch
16,71,Safariland M9 Holster R (Plthr)
17,52,Black Sounders Citation Holder II
18,40,Spec-OPS Helmet XL
19,29,Red-Tip Tech CAT Tourniquet + Holder
20,79,3M PTT Adapter
21,59,HJC Helmet L
22,16,Leland Strobe Light
23,51,2016 Em Resp Guide
24,32,Life CPR Mask
25,13,M17 Holster System R
26,48,Patrol Bag
27,58,Safety Vest
28,80,Silent Key Hld
29,81,Patrol Gloves
30,182,Mustang HIT Inflatable PFD (MD3183)
31,144,Baton (ASP)
32,145,Baton Holder (ASP)
33,283,IWCK (Improved Weapons Cleaning Kit)
34,185,Face Shield DeLuxe Part # 5145
35,127,9mm Pouch Black (2)
36,36,IEC Type A AC Charger Cord
37,35,Strion Charger AC/DC USB
38,23,Strion LED Flshl
39,193,Generic Trauma Plate
