Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,22,Baton (ASP) + Holder
4,31,Black Mustang PFD
5,26,Blackhawk Hawkhook Knife
6,54,Body Armor IIIA Protection (Ext)
7,25,Cruiser Mate II Doc Holder
8,12,Double Magazine Pouch
9,97,Duty Belt M (Nylon)
10,11,Glove Pouch
11,60,HJC Helmet M
12,77,HiVis Jacket
13,32,Life CPR Mask
14,13,M17 Holster System R
15,122,Mustang Surv Jacket L
16,48,Patrol Bag
17,84,Patrol Gloves L
18,49,Pepper Spray + OC Pouch
19,18,Prlss H-cuffs  w/Key + Pouch
20,2,Radio Pouch
21,9,Safariland M9 Holster R
22,58,Safety Vest
23,52,Black Sounders Citation Holder II
24,39,Spec-OPS Helmet L
25,88,Strion Flashlight
26,16,Leland Strobe Light
27,29,Red-Tip Tech CAT Tourniquet + Holder
