Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,79,3M PTT Adapter
4,127,9mm Pouch Black (2)
5,3,Baton (Mon) + Holder
6,26,Blackhawk Hawkhook Knife
7,25,Cruiser Mate II Doc Holder
8,12,Double Magazine Pouch
9,33,Duty Belt incl Kprs + Liner
10,93,ESS Eye Pro
11,78,Ear Piece
12,120,GH Panel Set (Sizes L/M)
13,45,GH Trauma Pad
14,11,Glove Pouch
15,36,IEC Type A AC Charger Cord
16,21,Lanyard (Pistol)
17,32,Life CPR Mask
18,48,Patrol Bag
19,84,Patrol Gloves L
20,49,Pepper Spray + OC Pouch
21,18,Prlss H-cuffs  w/Key + Pouch
22,2,Radio Pouch
23,9,Safariland M9 Holster R
24,52,Black Sounders Citation Holder II
25,40,Spec-OPS Helmet XL
26,35,Strion Charger AC/DC USB
27,23,Strion LED Flshl
28,16,Leland Strobe Light
29,128,Tier Stacked Mag Pouch (M4)
30,29,Red-Tip Tech CAT Tourniquet + Holder
31,114,GH Body Armor Int
32,183,5.56mm Indiv Cleaning Kit + Gerber Tool
