Seq No,Item No,Description
1,46,2nd Chance Body Armor
2,50,Belt Keepers (4)
3,12,Double Magazine Pouch
4,62,Duty Belt  lthr + Belt Liner (Nylon)
5,11,Glove Pouch
6,55,HT Trauma Plate
7,99,HiVis Jacket 2XL
8,32,Life CPR Mask
9,6,M16 Magazine Holder
10,13,M17 Holster System R
11,48,Patrol Bag
12,49,Pepper Spray + OC Pouch
13,18,Prlss H-cuffs  w/Key + Pouch
14,34,Protector P16 Baton
15,2,Radio Pouch
16,9,Safariland M9 Holster R
17,80,Silent Key Hld
18,23,Strion LED Flshl
19,29,Red-Tip Tech CAT Tourniquet + Holder
