Seq No,Item No,Description
1,68,APR/CBRN Respirator M
2,70,CBRN Canister PN 10046570
3,50,Belt Keepers (4)
4,12,Double Magazine Pouch
5,47,Duty Belt (Nylon)
6,49,Pepper Spray + OC Pouch
7,18,Prlss H-cuffs  w/Key + Pouch
8,9,Safariland M9 Holster R
9,46,2nd Chance Body Armor
10,87,Baton (Mon) + Holder (Plthr)
11,26,Blackhawk Hawkhook Knife
12,25,Cruiser Mate II Doc Holder
13,55,HT Trauma Plate
14,24,HiVis Jacket XL
15,32,Life CPR Mask
16,48,Patrol Bag
17,2,Radio Pouch
18,29,Red-Tip Tech CAT Tourniquet + Holder
19,89,Flashlight Ring
20,11,Glove Pouch
21,6,M16 Magazine Holder
22,13,M17 Holster System R
23,83,Patrol Gloves M
24,52,Black Sounders Citation Holder II
25,88,Strion Flashlight
26,38,Spec-OPS Helmet M
27,183,5.56mm Indiv Cleaning Kit + Gerber Tool
28,185,Face Shield DeLuxe Part # 5145
