Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,22,Baton (ASP) + Holder
4,26,Blackhawk Hawkhook Knife
5,25,Cruiser Mate II Doc Holder
6,12,Double Magazine Pouch
7,33,Duty Belt incl Kprs + Liner
8,93,ESS Eye Pro
9,78,Ear Piece
10,44,GH Body Armor Ext XL 2413/2415 + Panels
11,114,GH Body Armor Int
12,45,GH Trauma Pad
13,11,Glove Pouch
14,36,IEC Type A AC Charger Cord
15,32,Life CPR Mask
16,48,Patrol Bag
17,81,Patrol Gloves
18,49,Pepper Spray + OC Pouch
19,18,Prlss H-cuffs  w/Key + Pouch
20,2,Radio Pouch
21,9,Safariland M9 Holster R
22,52,Black Sounders Citation Holder II
23,94,Spec-OPS Helmet
24,35,Strion Charger AC/DC USB
25,23,Strion LED Flshl
26,16,Leland Strobe Light
27,29,Red-Tip Tech CAT Tourniquet + Holder
28,183,5.56mm Indiv Cleaning Kit + Gerber Tool
29,127,9mm Pouch Black (2)
30,185,Face Shield DeLuxe Part # 5145
31,13,M17 Holster System R
