Seq No,Item No,Description
1,67,APR/CBRN Respirator L
2,70,CBRN Canister PN 10046570
3,12,Double Magazine Pouch
4,95,Duty Belt (Plthr)
5,49,Pepper Spray + OC Pouch
6,18,Prlss H-cuffs  w/Key + Pouch
7,96,2nd Chance Body Armor XL
8,28,3M ACH Headset Single Com
9,3,Baton (Mon) + Holder
10,26,Blackhawk Hawkhook Knife
11,25,Cruiser Mate II Doc Holder
12,93,ESS Eye Pro
13,55,HT Trauma Plate
14,24,HiVis Jacket XL
15,32,Life CPR Mask
16,13,M17 Holster System R
17,48,Patrol Bag
18,84,Patrol Gloves L
19,2,Radio Pouch
20,9,Safariland M9 Holster R
21,40,Spec-OPS Helmet XL
22,79,3M PTT Adapter
23,90,Belt Liner
24,29,Red-Tip Tech CAT Tourniquet + Holder
25,97,Duty Belt M (Nylon)
26,183,5.56mm Indiv Cleaning Kit + Gerber Tool
