Seq No,Item No,Description
1,67,APR/CBRN Respirator L
2,70,CBRN Canister PN 10046570
3,62,Duty Belt  lthr + Belt Liner (Nylon)
4,49,Pepper Spray + OC Pouch
5,87,Baton (Mon) + Holder (Plthr)
6,125,Double Mag Pouch (Plthr)
7,18,Prlss H-cuffs  w/Key + Pouch
8,103,Radio Pouch (Plthr)
9,71,Safariland M9 Holster R (Plthr)
10,46,2nd Chance Body Armor
11,28,3M ACH Headset Single Com
12,79,3M PTT Adapter
13,126,Belt Keepers (Plthr)
14,26,Blackhawk Hawkhook Knife
15,25,Cruiser Mate II Doc Holder
16,89,Flashlight Ring
17,11,Glove Pouch
18,55,HT Trauma Plate
19,77,HiVis Jacket
20,32,Life CPR Mask
21,48,Patrol Bag
22,124,Red Mustang Flotation Jacket Type 3 XL
23,58,Safety Vest
24,101,Silent Key Hld (Plthr)
25,40,Spec-OPS Helmet XL
26,102,Streamlight ProTAC Flashlight
27,23,Strion LED Flshl
28,29,Red-Tip Tech CAT Tourniquet + Holder
29,183,5.56mm Indiv Cleaning Kit + Gerber Tool
30,93,ESS Eye Pro
31,78,Ear Piece
32,31,Black Mustang PFD
33,16,Leland Strobe Light
34,257,9mm OTIS Cleaning Kit PK-L-18FI
