Seq No,Item No,Description
1,28,3M ACH Headset Single Com
2,22,Baton (ASP) + Holder
3,90,Belt Liner
4,31,Black Mustang PFD
5,54,Body Armor IIIA Protection (Ext)
6,25,Cruiser Mate II Doc Holder
7,12,Double Magazine Pouch
8,65,ESS Eye Pro Goggles
9,11,Glove Pouch
10,55,HT Trauma Plate
11,66,HiVis Jacket L
12,13,M17 Holster System R
13,49,Pepper Spray + OC Pouch
14,18,Prlss H-cuffs  w/Key + Pouch
15,2,Radio Pouch
16,9,Safariland M9 Holster R
17,58,Safety Vest
18,80,Silent Key Hld
19,38,Spec-OPS Helmet M
20,16,Leland Strobe Light
21,33,Duty Belt incl Kprs + Liner
22,125,Double Mag Pouch (Plthr)
23,164,Double Mag Pouch (Plthr)
24,83,Patrol Gloves M
