Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,3,Baton (Mon) + Holder
4,50,Belt Keepers (4)
5,26,Blackhawk Hawkhook Knife
6,12,Double Magazine Pouch
7,47,Duty Belt (Nylon)
8,93,ESS Eye Pro
9,78,Ear Piece
10,43,GH Body Armor Ext L 2213/2215 + Panels
11,73,GH Body Armor Int L 2213/2215 No Panels
12,45,GH Trauma Pad
13,11,Glove Pouch
14,36,IEC Type A AC Charger Cord
15,32,Life CPR Mask
16,48,Patrol Bag
17,81,Patrol Gloves
18,49,Pepper Spray + OC Pouch
19,18,Prlss H-cuffs  w/Key + Pouch
20,2,Radio Pouch
21,9,Safariland M9 Holster R
22,52,Black Sounders Citation Holder II
23,35,Strion Charger AC/DC USB
24,23,Strion LED Flshl
25,16,Leland Strobe Light
26,29,Red-Tip Tech CAT Tourniquet + Holder
27,39,Spec-OPS Helmet L
28,69,APR/CBRN Respirator S
29,70,CBRN Canister PN 10046570
30,283,IWCK (Improved Weapons Cleaning Kit)
