Seq No,Item No,Description
1,67,APR/CBRN Respirator L
2,70,CBRN Canister PN 10046570
3,51,2016 Em Resp Guide
4,46,2nd Chance Body Armor
5,28,3M ACH Headset Single Com
6,79,3M PTT Adapter
7,3,Baton (Mon) + Holder
8,50,Belt Keepers (4)
9,31,Black Mustang PFD
10,26,Blackhawk Hawkhook Knife
11,106,Blk Nylon Bpck (Boat Bag)
12,25,Cruiser Mate II Doc Holder
13,12,Double Magazine Pouch
14,47,Duty Belt (Nylon)
15,93,ESS Eye Pro
16,65,ESS Eye Pro Goggles
17,78,Ear Piece
18,11,Glove Pouch
19,57,HJC Helmet XL
20,99,HiVis Jacket 2XL
21,36,IEC Type A AC Charger Cord
22,32,Life CPR Mask
23,6,M16 Magazine Holder
24,13,M17 Holster System R
25,113,Stearns PFD 1055 FJ Windward XXXL
26,48,Patrol Bag
27,49,Pepper Spray + OC Pouch
28,18,Prlss H-cuffs  w/Key + Pouch
29,2,Radio Pouch
30,9,Safariland M9 Holster R
31,80,Silent Key Hld
32,94,Spec-OPS Helmet
33,102,Streamlight ProTAC Flashlight
34,35,Strion Charger AC/DC USB
35,23,Strion LED Flshl
36,16,Leland Strobe Light
37,29,Red-Tip Tech CAT Tourniquet + Holder
38,182,Mustang HIT Inflatable PFD (MD3183)
39,183,5.56mm Indiv Cleaning Kit + Gerber Tool
40,283,IWCK (Improved Weapons Cleaning Kit)
