Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,79,3M PTT Adapter
4,22,Baton (ASP) + Holder
5,50,Belt Keepers (4)
6,31,Black Mustang PFD
7,26,Blackhawk Hawkhook Knife
8,25,Cruiser Mate II Doc Holder
9,12,Double Magazine Pouch
10,47,Duty Belt (Nylon)
11,78,Ear Piece
12,114,GH Body Armor Int
13,11,Glove Pouch
14,57,HJC Helmet XL
15,77,HiVis Jacket
16,32,Life CPR Mask
17,6,M16 Magazine Holder
18,49,Pepper Spray + OC Pouch
19,18,Prlss H-cuffs  w/Key + Pouch
20,2,Radio Pouch
21,9,Safariland M9 Holster R
22,58,Safety Vest
23,80,Silent Key Hld
24,52,Black Sounders Citation Holder II
25,94,Spec-OPS Helmet
26,16,Leland Strobe Light
27,29,Red-Tip Tech CAT Tourniquet + Holder
28,183,5.56mm Indiv Cleaning Kit + Gerber Tool
29,185,Face Shield DeLuxe Part # 5145
30,138,Body Armor Panels
31,13,M17 Holster System R
32,301,Body Armor Point Blank FoCBA - Type 1 (XL)
