Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,46,2nd Chance Body Armor
3,28,3M ACH Headset Single Com
4,79,3M PTT Adapter
5,3,Baton (Mon) + Holder
6,31,Black Mustang PFD
7,26,Blackhawk Hawkhook Knife
8,76,Body Armor External IIIA
9,138,Body Armor Panels
10,12,Double Magazine Pouch
11,33,Duty Belt incl Kprs + Liner
12,93,ESS Eye Pro
13,78,Ear Piece
14,43,GH Body Armor Ext L 2213/2215 + Panels
15,11,Glove Pouch
16,77,HiVis Jacket
17,36,IEC Type A AC Charger Cord
18,32,Life CPR Mask
19,48,Patrol Bag
20,82,Patrol Gloves S
21,49,Pepper Spray + OC Pouch
22,18,Prlss H-cuffs  w/Key + Pouch
23,2,Radio Pouch
24,39,Spec-OPS Helmet L
25,35,Strion Charger AC/DC USB
26,23,Strion LED Flshl
27,16,Leland Strobe Light
28,29,Red-Tip Tech CAT Tourniquet + Holder
29,9,Safariland M9 Holster R
30,183,5.56mm Indiv Cleaning Kit + Gerber Tool
31,185,Face Shield DeLuxe Part # 5145
