Seq No,Item No,Description
1,68,APR/CBRN Respirator M
2,70,CBRN Canister PN 10046570
3,46,2nd Chance Body Armor
4,28,3M ACH Headset Single Com
5,79,3M PTT Adapter
6,3,Baton (Mon) + Holder
7,31,Black Mustang PFD
8,106,Blk Nylon Bpck (Boat Bag)
9,12,Double Magazine Pouch
10,47,Duty Belt (Nylon)
11,91,Flashlight Pouch
12,89,Flashlight Ring
13,11,Glove Pouch
14,55,HT Trauma Plate
15,111,HiVis Jacket M
16,32,Life CPR Mask
17,13,M17 Holster System R
18,109,Mustang Dry Suit MR
19,48,Patrol Bag
20,49,Pepper Spray + OC Pouch
21,18,Prlss H-cuffs  w/Key + Pouch
22,2,Radio Pouch
23,80,Silent Key Hld
24,39,Spec-OPS Helmet L
25,102,Streamlight ProTAC Flashlight
26,88,Strion Flashlight
27,16,Leland Strobe Light
28,29,Red-Tip Tech CAT Tourniquet + Holder
29,26,Blackhawk Hawkhook Knife
30,130,Stearns PFD 1055 FJ Windward (No Size)
31,124,Red Mustang Flotation Jacket Type 3 XL
32,283,IWCK (Improved Weapons Cleaning Kit)
