Seq No,Item No,Description
1,67,APR/CBRN Respirator L
2,70,CBRN Canister PN 10046570
3,46,2nd Chance Body Armor
4,28,3M ACH Headset Single Com
5,79,3M PTT Adapter
6,50,Belt Keepers (4)
7,26,Blackhawk Hawkhook Knife
8,106,Blk Nylon Bpck (Boat Bag)
9,12,Double Magazine Pouch
10,47,Duty Belt (Nylon)
11,91,Flashlight Pouch
12,55,HT Trauma Plate
13,24,HiVis Jacket XL
14,32,Life CPR Mask
15,49,Pepper Spray + OC Pouch
16,18,Prlss H-cuffs  w/Key + Pouch
17,2,Radio Pouch
18,9,Safariland M9 Holster R
19,40,Spec-OPS Helmet XL
20,88,Strion Flashlight
21,29,Red-Tip Tech CAT Tourniquet + Holder
22,183,5.56mm Indiv Cleaning Kit + Gerber Tool
