Seq No,Item No,Description
1,68,APR/CBRN Respirator M
2,70,CBRN Canister PN 10046570
3,46,2nd Chance Body Armor
4,28,3M ACH Headset Single Com
5,79,3M PTT Adapter
6,3,Baton (Mon) + Holder
7,31,Black Mustang PFD
8,26,Blackhawk Hawkhook Knife
9,106,Blk Nylon Bpck (Boat Bag)
10,125,Double Mag Pouch (Plthr)
11,33,Duty Belt incl Kprs + Liner
12,93,ESS Eye Pro
13,78,Ear Piece
14,11,Glove Pouch
15,32,Life CPR Mask
16,49,Pepper Spray + OC Pouch
17,18,Prlss H-cuffs  w/Key + Pouch
18,2,Radio Pouch
19,9,Safariland M9 Holster R
20,38,Spec-OPS Helmet M
21,16,Leland Strobe Light
22,29,Red-Tip Tech CAT Tourniquet + Holder
23,119,ZAN Helmet Liner
24,183,5.56mm Indiv Cleaning Kit + Gerber Tool
25,65,ESS Eye Pro Goggles
26,91,Flashlight Pouch
27,89,Flashlight Ring
28,242,HJC 1S Max II Helmet M SN18-HH-P1-V9
29,88,Strion Flashlight
30,297,Trauma Pad (Generic)
31,118,ZAN Balaclava
