Seq No,Item No,Description
1,46,2nd Chance Body Armor
2,69,APR/CBRN Respirator S
3,3,Baton (Mon) + Holder
4,50,Belt Keepers (4)
5,90,Belt Liner
6,26,Blackhawk Hawkhook Knife
7,70,CBRN Canister PN 10046570
8,12,Double Magazine Pouch
9,47,Duty Belt (Nylon)
10,93,ESS Eye Pro
11,89,Flashlight Ring
12,11,Glove Pouch
13,55,HT Trauma Plate
14,24,HiVis Jacket XL
15,32,Life CPR Mask
16,6,M16 Magazine Holder
17,13,M17 Holster System R
18,48,Patrol Bag
19,82,Patrol Gloves S
20,49,Pepper Spray + OC Pouch
21,18,Prlss H-cuffs  w/Key + Pouch
22,2,Radio Pouch
23,9,Safariland M9 Holster R
24,52,Black Sounders Citation Holder II
25,23,Strion LED Flshl
26,29,Red-Tip Tech CAT Tourniquet + Holder
27,183,5.56mm Indiv Cleaning Kit + Gerber Tool
28,185,Face Shield DeLuxe Part # 5145
29,127,9mm Pouch Black (2)
30,44,GH Body Armor Ext XL 2413/2415 + Panels
31,128,Tier Stacked Mag Pouch (M4)
