Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,79,3M PTT Adapter
4,127,9mm Pouch Black (2)
5,22,Baton (ASP) + Holder
6,31,Black Mustang PFD
7,26,Blackhawk Hawkhook Knife
8,25,Cruiser Mate II Doc Holder
9,12,Double Magazine Pouch
10,146,Duty Belt incl Kprs + Liner M
11,93,ESS Eye Pro
12,78,Ear Piece
13,185,Face Shield DeLuxe Part # 5145
14,191,GH Body Armor Int L 2213/2215 + Panels
15,55,HT Trauma Plate
16,77,HiVis Jacket
17,36,IEC Type A AC Charger Cord
18,283,IWCK (Improved Weapons Cleaning Kit)
19,196,Key Holder
20,16,Leland Strobe Light
21,32,Life CPR Mask
22,6,M16 Magazine Holder
23,48,Patrol Bag
24,83,Patrol Gloves M
25,49,Pepper Spray + OC Pouch
26,18,Prlss H-cuffs  w/Key + Pouch
27,34,Protector P16 Baton
28,2,Radio Pouch
29,29,Red-Tip Tech CAT Tourniquet + Holder
30,9,Safariland M9 Holster R
31,58,Safety Vest
32,39,Spec-OPS Helmet L
33,35,Strion Charger AC/DC USB
34,23,Strion LED Flshl
35,128,Tier Stacked Mag Pouch (M4)
