Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,79,3M PTT Adapter
4,127,9mm Pouch Black (2)
5,31,Black Mustang PFD
6,26,Blackhawk Hawkhook Knife
7,147,Duty Belt incl Kprs + Liner L
8,93,ESS Eye Pro
9,78,Ear Piece
10,185,Face Shield DeLuxe Part # 5145
11,43,GH Body Armor Ext L 2213/2215 + Panels
12,36,IEC Type A AC Charger Cord
13,283,IWCK (Improved Weapons Cleaning Kit)
14,196,Key Holder
15,16,Leland Strobe Light
16,32,Life CPR Mask
17,13,M17 Holster System R
18,48,Patrol Bag
19,83,Patrol Gloves M
20,49,Pepper Spray + OC Pouch
21,137,Prls HCuffs
22,2,Radio Pouch
23,29,Red-Tip Tech CAT Tourniquet + Holder
24,58,Safety Vest
25,38,Spec-OPS Helmet M
26,35,Strion Charger AC/DC USB
27,23,Strion LED Flshl
