Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,46,2nd Chance Body Armor
3,28,3M ACH Headset Single Com
4,79,3M PTT Adapter
5,50,Belt Keepers (4)
6,31,Black Mustang PFD
7,26,Blackhawk Hawkhook Knife
8,106,Blk Nylon Bpck (Boat Bag)
9,47,Duty Belt (Nylon)
10,93,ESS Eye Pro
11,91,Flashlight Pouch
12,11,Glove Pouch
13,59,HJC Helmet L
14,77,HiVis Jacket
15,32,Life CPR Mask
16,117,Mustang Surv Jacket XXL
17,48,Patrol Bag
18,18,Prlss H-cuffs  w/Key + Pouch
19,9,Safariland M9 Holster R
20,108,Skull Cap
21,39,Spec-OPS Helmet L
22,88,Strion Flashlight
23,23,Strion LED Flshl
24,16,Leland Strobe Light
25,29,Red-Tip Tech CAT Tourniquet + Holder
26,13,M17 Holster System R
27,283,IWCK (Improved Weapons Cleaning Kit)
