Seq No,Item No,Description
1,68,APR/CBRN Respirator M
2,70,CBRN Canister PN 10046570
3,95,Duty Belt (Plthr)
4,46,2nd Chance Body Armor
5,22,Baton (ASP) + Holder
6,50,Belt Keepers (4)
7,126,Belt Keepers (Plthr)
8,26,Blackhawk Hawkhook Knife
9,125,Double Mag Pouch (Plthr)
10,12,Double Magazine Pouch
11,47,Duty Belt (Nylon)
12,89,Flashlight Ring
13,66,HiVis Jacket L
14,32,Life CPR Mask
15,110,Maglight Flashlight
16,84,Patrol Gloves L
17,49,Pepper Spray + OC Pouch
18,132,Pepper Spray + OC Pouch (Plthr)
19,2,Radio Pouch
20,103,Radio Pouch (Plthr)
21,72,Safariland M9 Holster L (Plthr)
22,80,Silent Key Hld
23,101,Silent Key Hld (Plthr)
24,35,Strion Charger AC/DC USB
25,23,Strion LED Flshl
26,29,Red-Tip Tech CAT Tourniquet + Holder
27,25,Cruiser Mate II Doc Holder
28,93,ESS Eye Pro
29,14,M17 Holster System L
30,48,Patrol Bag
31,18,Prlss H-cuffs  w/Key + Pouch
32,40,Spec-OPS Helmet XL
33,161,Glove Pouch
34,104,Glove Pouch (Plthr)
35,78,Ear Piece
36,15,Safariland M9 Holster L
