Seq No,Item No,Description
1,67,APR/CBRN Respirator L
2,70,CBRN Canister PN 10046570
3,46,2nd Chance Body Armor
4,22,Baton (ASP) + Holder
5,126,Belt Keepers (Plthr)
6,90,Belt Liner
7,125,Double Mag Pouch (Plthr)
8,95,Duty Belt (Plthr)
9,93,ESS Eye Pro
10,91,Flashlight Pouch
11,11,Glove Pouch
12,104,Glove Pouch (Plthr)
13,55,HT Trauma Plate
14,99,HiVis Jacket 2XL
15,13,M17 Holster System R
16,48,Patrol Bag
17,84,Patrol Gloves L
18,49,Pepper Spray + OC Pouch
19,133,Prlss H-cuffs Key + Pouch (Plthr)
20,2,Radio Pouch
21,103,Radio Pouch (Plthr)
22,101,Silent Key Hld (Plthr)
23,102,Streamlight ProTAC Flashlight
24,88,Strion Flashlight
25,40,Spec-OPS Helmet XL
26,183,5.56mm Indiv Cleaning Kit + Gerber Tool
27,185,Face Shield DeLuxe Part # 5145
28,9,Safariland M9 Holster R
29,71,Safariland M9 Holster R (Plthr)
30,47,Duty Belt (Nylon)
