Seq No,Item No,Description
1,68,APR/CBRN Respirator M
2,70,CBRN Canister PN 10046570
3,38,Spec-OPS Helmet M
4,59,HJC Helmet L
5,3,Baton (Mon) + Holder
6,90,Belt Liner
7,26,Blackhawk Hawkhook Knife
8,54,Body Armor IIIA Protection (Ext)
9,25,Cruiser Mate II Doc Holder
10,12,Double Magazine Pouch
11,47,Duty Belt (Nylon)
12,78,Ear Piece
13,11,Glove Pouch
14,6,M16 Magazine Holder
15,13,M17 Holster System R
16,48,Patrol Bag
17,83,Patrol Gloves M
18,18,Prlss H-cuffs  w/Key + Pouch
19,2,Radio Pouch
20,9,Safariland M9 Holster R
21,58,Safety Vest
22,80,Silent Key Hld
23,52,Black Sounders Citation Holder II
24,182,Mustang HIT Inflatable PFD (MD3183)
25,283,IWCK (Improved Weapons Cleaning Kit)
26,174,Belt Keepers (4)
27,28,3M ACH Headset Single Com
28,257,9mm OTIS Cleaning Kit PK-L-18FI
