Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,46,2nd Chance Body Armor
3,22,Baton (ASP) + Holder
4,50,Belt Keepers (4)
5,26,Blackhawk Hawkhook Knife
6,12,Double Magazine Pouch
7,47,Duty Belt (Nylon)
8,93,ESS Eye Pro
9,78,Ear Piece
10,11,Glove Pouch
11,77,HiVis Jacket
12,32,Life CPR Mask
13,6,M16 Magazine Holder
14,48,Patrol Bag
15,49,Pepper Spray + OC Pouch
16,18,Prlss H-cuffs  w/Key + Pouch
17,2,Radio Pouch
18,15,Safariland M9 Holster L
19,58,Safety Vest
20,52,Black Sounders Citation Holder II
21,16,Leland Strobe Light
22,29,Red-Tip Tech CAT Tourniquet + Holder
23,183,5.56mm Indiv Cleaning Kit + Gerber Tool
24,127,9mm Pouch Black (2)
25,128,Tier Stacked Mag Pouch (M4)
26,79,3M PTT Adapter
27,80,Silent Key Hld
