Seq No,Item No,Description
1,68,APR/CBRN Respirator M
2,70,CBRN Canister PN 10046570
3,3,Baton (Mon) + Holder
4,50,Belt Keepers (4)
5,12,Double Magazine Pouch
6,11,Glove Pouch
7,18,Prlss H-cuffs  w/Key + Pouch
8,2,Radio Pouch
9,9,Safariland M9 Holster R
10,51,2016 Em Resp Guide
11,28,3M ACH Headset Single Com
12,79,3M PTT Adapter
13,31,Black Mustang PFD
14,26,Blackhawk Hawkhook Knife
15,25,Cruiser Mate II Doc Holder
16,47,Duty Belt (Nylon)
17,93,ESS Eye Pro
18,78,Ear Piece
19,44,GH Body Armor Ext XL 2413/2415 + Panels
20,114,GH Body Armor Int
21,60,HJC Helmet M
22,32,Life CPR Mask
23,13,M17 Holster System R
24,48,Patrol Bag
25,84,Patrol Gloves L
26,49,Pepper Spray + OC Pouch
27,58,Safety Vest
28,52,Black Sounders Citation Holder II
29,94,Spec-OPS Helmet
30,16,Leland Strobe Light
31,29,Red-Tip Tech CAT Tourniquet + Holder
