Seq No,Item No,Description
1,12,Double Magazine Pouch
2,51,2016 Em Resp Guide
3,46,2nd Chance Body Armor
4,28,3M ACH Headset Single Com
5,79,3M PTT Adapter
6,3,Baton (Mon) + Holder
7,126,Belt Keepers (Plthr)
8,90,Belt Liner
9,31,Black Mustang PFD
10,26,Blackhawk Hawkhook Knife
11,106,Blk Nylon Bpck (Boat Bag)
12,125,Double Mag Pouch (Plthr)
13,95,Duty Belt (Plthr)
14,78,Ear Piece
15,121,Flotation Jacket (No Size)
16,104,Glove Pouch (Plthr)
17,59,HJC Helmet L
18,55,HT Trauma Plate
19,24,HiVis Jacket XL
20,32,Life CPR Mask
21,14,M17 Holster System L
22,48,Patrol Bag
23,84,Patrol Gloves L
24,132,Pepper Spray + OC Pouch (Plthr)
25,133,Prlss H-cuffs Key + Pouch (Plthr)
26,103,Radio Pouch (Plthr)
27,72,Safariland M9 Holster L (Plthr)
28,80,Silent Key Hld
29,39,Spec-OPS Helmet L
30,102,Streamlight ProTAC Flashlight
31,29,Red-Tip Tech CAT Tourniquet + Holder
