Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,127,9mm Pouch Black (2)
3,22,Baton (ASP) + Holder
4,52,Black Sounders Citation Holder II
5,26,Blackhawk Hawkhook Knife
6,300,Body Armor Point Blank FoCBA - Type 1 (S)
7,25,Cruiser Mate II Doc Holder
8,12,Double Magazine Pouch
9,146,Duty Belt incl Kprs + Liner M
10,93,ESS Eye Pro
11,11,Glove Pouch
12,36,IEC Type A AC Charger Cord
13,32,Life CPR Mask
14,13,M17 Holster System R
15,48,Patrol Bag
16,83,Patrol Gloves M
17,49,Pepper Spray + OC Pouch
18,18,Prlss H-cuffs  w/Key + Pouch
19,29,Red-Tip Tech CAT Tourniquet + Holder
20,35,Strion Charger AC/DC USB
21,23,Strion LED Flshl
