Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,127,9mm Pouch Black (2)
4,3,Baton (Mon) + Holder
5,26,Blackhawk Hawkhook Knife
6,12,Double Magazine Pouch
7,33,Duty Belt incl Kprs + Liner
8,93,ESS Eye Pro
9,78,Ear Piece
10,11,Glove Pouch
11,36,IEC Type A AC Charger Cord
12,21,Lanyard (Pistol)
13,32,Life CPR Mask
14,48,Patrol Bag
15,83,Patrol Gloves M
16,49,Pepper Spray + OC Pouch
17,18,Prlss H-cuffs  w/Key + Pouch
18,2,Radio Pouch
19,9,Safariland M9 Holster R
20,52,Black Sounders Citation Holder II
21,38,Spec-OPS Helmet M
22,35,Strion Charger AC/DC USB
23,23,Strion LED Flshl
24,16,Leland Strobe Light
25,128,Tier Stacked Mag Pouch (M4)
26,29,Red-Tip Tech CAT Tourniquet + Holder
27,75,GH Body Armor Int S 1812/1814 + Panels
28,45,GH Trauma Pad
29,183,5.56mm Indiv Cleaning Kit + Gerber Tool
30,25,Cruiser Mate II Doc Holder
31,186,GH Body Armor Ext M 2013/2015 No Panels
