Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,79,3M PTT Adapter
4,127,9mm Pouch Black (2)
5,22,Baton (ASP) + Holder
6,26,Blackhawk Hawkhook Knife
7,25,Cruiser Mate II Doc Holder
8,12,Double Magazine Pouch
9,147,Duty Belt incl Kprs + Liner L
10,93,ESS Eye Pro
11,78,Ear Piece
12,185,Face Shield DeLuxe Part # 5145
13,187,GH Body Armor Ext L 2213/2215 No Panels
14,191,GH Body Armor Int L 2213/2215 + Panels
15,11,Glove Pouch
16,55,HT Trauma Plate
17,36,IEC Type A AC Charger Cord
18,21,Lanyard (Pistol)
19,16,Leland Strobe Light
20,32,Life CPR Mask
21,48,Patrol Bag
22,83,Patrol Gloves M
23,49,Pepper Spray + OC Pouch
24,18,Prlss H-cuffs  w/Key + Pouch
25,2,Radio Pouch
26,29,Red-Tip Tech CAT Tourniquet + Holder
27,9,Safariland M9 Holster R
28,39,Spec-OPS Helmet L
29,35,Strion Charger AC/DC USB
30,88,Strion Flashlight
31,128,Tier Stacked Mag Pouch (M4)
32,283,IWCK (Improved Weapons Cleaning Kit)
