Seq No,Item No,Description
1,46,2nd Chance Body Armor
2,28,3M ACH Headset Single Com
3,79,3M PTT Adapter
4,31,Black Mustang PFD
5,12,Double Magazine Pouch
6,47,Duty Belt (Nylon)
7,93,ESS Eye Pro
8,114,GH Body Armor Int
9,2,Radio Pouch
10,9,Safariland M9 Holster R
11,94,Spec-OPS Helmet
12,102,Streamlight ProTAC Flashlight
13,16,Leland Strobe Light
14,182,Mustang HIT Inflatable PFD (MD3183)
15,183,5.56mm Indiv Cleaning Kit + Gerber Tool
16,50,Belt Keepers (4)
17,48,Patrol Bag
18,174,Belt Keepers (4)
19,287,Rothco Black Radio Pouch
20,11,Glove Pouch
