Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,46,2nd Chance Body Armor
3,3,Baton (Mon) + Holder
4,50,Belt Keepers (4)
5,26,Blackhawk Hawkhook Knife
6,12,Double Magazine Pouch
7,11,Glove Pouch
8,32,Life CPR Mask
9,49,Pepper Spray + OC Pouch
10,18,Prlss H-cuffs  w/Key + Pouch
11,2,Radio Pouch
12,9,Safariland M9 Holster R
13,101,Silent Key Hld (Plthr)
14,38,Spec-OPS Helmet M
15,102,Streamlight ProTAC Flashlight
16,29,Red-Tip Tech CAT Tourniquet + Holder
17,33,Duty Belt incl Kprs + Liner
18,13,M17 Holster System R
