Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,79,3M PTT Adapter
4,183,5.56mm Indiv Cleaning Kit + Gerber Tool
5,257,9mm OTIS Cleaning Kit PK-L-18FI
6,127,9mm Pouch Black (2)
7,22,Baton (ASP) + Holder
8,31,Black Mustang PFD
9,26,Blackhawk Hawkhook Knife
10,25,Cruiser Mate II Doc Holder
11,12,Double Magazine Pouch
12,146,Duty Belt incl Kprs + Liner M
13,93,ESS Eye Pro
14,78,Ear Piece
15,185,Face Shield DeLuxe Part # 5145
16,187,GH Body Armor Ext L 2213/2215 No Panels
17,191,GH Body Armor Int L 2213/2215 + Panels
18,55,HT Trauma Plate
19,77,HiVis Jacket
20,36,IEC Type A AC Charger Cord
21,196,Key Holder
22,21,Lanyard (Pistol)
23,16,Leland Strobe Light
24,32,Life CPR Mask
25,48,Patrol Bag
26,83,Patrol Gloves M
27,49,Pepper Spray + OC Pouch
28,18,Prlss H-cuffs  w/Key + Pouch
29,34,Protector P16 Baton
30,2,Radio Pouch
31,29,Red-Tip Tech CAT Tourniquet + Holder
32,9,Safariland M9 Holster R
33,58,Safety Vest
34,38,Spec-OPS Helmet M
35,35,Strion Charger AC/DC USB
36,23,Strion LED Flshl
37,128,Tier Stacked Mag Pouch (M4)
