Item #,Description,Size,SN,Qty,Location
278,Active Shooter Bags (empty),,,25,Connex 4
295,Active Shooter Bag w/equipment,,,5,Connex 10
291,Survival Blankets,,,2,Connex 10
288,Police Vehicle Push Bar,,,1,Connex 10
253,Flex Force Suit FX1XLG,FX1XLG,none,5,Connex 1
252,Flex Force Suit FX1XXL,FX1XXL,none,4,Connex 1
251,Flex Force Suit FX1MED,FX1MED,none,14,Connex 1
250,Flex Force Suit FX1LG,FX1LG,none,22,Connex 1
254,First Aid Kit,none,6545-01-010-7754,7,Connex 1
306,Tear Gas Cannister Simulator,,,12,Supp Room
276,Step Ladder,,,1,Connex 4
296,Spare Tires for Patrol Vehicles,,,5,Connex 10
240,HJC 1S Max II Helmet 2XL SN17-HH-P1-V30,2XL,SN17-HH-P1-V30,1,Connex 4
242,HJC 1S Max II Helmet M SN18-HH-P1-V9,M,SN18-HH-P1-V9,1,Connex 4
238,HJC 1S Max II Helmet S SN18-HH-P1-V15,S,SN18-HH-P1-V15,1,Connex 4
239,HJC 1S Max II Helmet XL SN18-HH-P1-V2,XL,SN18-HH-P1-V2,1,Connex 4
241,HJC 1S Max II Helmet L SN18-HH-P1-V2,L,SN18-HH-P1-V2,1,Connex 4
289,Desk CPU Holder,,,8,Connex 10
294,Admin Board,,,1,Connex 10
292,Weapons Rack,,,2,Connex 10
277,Pelican Gun Case,,,4,Connex 4 - back R corner
256,Pro-Torx Spotlight,none,none,3,Connex 1
290,Vessel Med Kit,,,1,Connex 10
293,Canopy,,,1,Connex 10
255,Power Flare,none,none,6,Connex 1
